folder,subfolder,plate_text,timestamp,image_path
CAM_19,2025-07-12T19+0300,DoM,2025-07-12 19:19:37,detected_vehicles/20250712_191937_frame100_DoM.jpg
CAM_19,2025-07-12T19+0300,Qol,2025-07-12 19:19:37,detected_vehicles/20250712_191937_frame110_Qol.jpg
CAM_19,2025-07-12T19+0300,Mom,2025-07-12 19:19:37,detected_vehicles/20250712_191937_frame120_Mom.jpg
CAM_19,2025-07-12T18+0300,3,2025-07-12 18:35:46,detected_vehicles/20250712_183546_frame460_3.jpg
CAM_19,2025-07-12T16+0300,"440qs,",2025-07-12 16:34:57,detected_vehicles/20250712_163457_frame160_440qs.jpg
CAM_19,2025-07-12T16+0300,8,2025-07-12 16:23:03,detected_vehicles/20250712_162303_frame120_8.jpg
CAM_19,2025-07-12T17+0300,05:45.30,2025-07-12 17:20:25,detected_vehicles/20250712_172025_frame90_054530.jpg
CAM_19,2025-07-12T16+0300,6,2025-07-12 16:50:43,detected_vehicles/20250712_165043_frame670_6.jpg
CAM_19,2025-07-12T16+0300,A,2025-07-12 16:28:49,detected_vehicles/20250712_162849_frame340_A.jpg
CAM_19,2025-07-12T14+0300,O_,2025-07-12 15:00:16,detected_vehicles/20250712_150016_frame530_O.jpg
CAM_19,2025-07-12T14+0300,Lam =,2025-07-12 14:21:36,detected_vehicles/20250712_142136_frame160_Lam.jpg
CAM_19,2025-07-12T12+0300,849,2025-07-12 12:50:21,detected_vehicles/20250712_125021_frame740_849.jpg
CAM_19,2025-07-12T06+0300,oS,2025-07-12 06:15:41,detected_vehicles/20250712_061541_frame480_oS.jpg
CAM_19,2025-07-12T06+0300,9844,2025-07-12 06:17:03,detected_vehicles/20250712_061703_frame400_9844.jpg
CAM_20,2025-07-11T23+0300,MEue,2025-07-11 23:49:41,detected_vehicles/20250711_234941_frame10_MEue.jpg
CAM_20,2025-07-11T23+0300,Miue,2025-07-11 23:49:41,detected_vehicles/20250711_234941_frame20_Miue.jpg
CAM_20,2025-07-11T23+0300,MEue,2025-07-11 23:49:41,detected_vehicles/20250711_234941_frame30_MEue.jpg
CAM_20,2025-07-11T23+0300,MEud,2025-07-11 23:49:41,detected_vehicles/20250711_234941_frame40_MEud.jpg
CAM_20,2025-07-11T23+0300,WELt,2025-07-11 23:48:54,detected_vehicles/20250711_234854_frame270_WELt.jpg
CAM_20,2025-07-11T23+0300,6002tp )),2025-07-11 23:43:29,detected_vehicles/20250711_234329_frame10_6002tp.jpg
CAM_20,2025-07-11T23+0300,mSue,2025-07-11 23:43:29,detected_vehicles/20250711_234329_frame10_mSue.jpg
CAM_20,2025-07-11T23+0300,"[0d2,PM",2025-07-11 23:43:29,detected_vehicles/20250711_234329_frame20_0d2PM.jpg
CAM_20,2025-07-11T23+0300,hELa,2025-07-11 23:43:29,detected_vehicles/20250711_234329_frame20_hELa.jpg
CAM_20,2025-07-11T23+0300,MELd,2025-07-11 23:43:29,detected_vehicles/20250711_234329_frame20_MELd.jpg
CAM_20,2025-07-11T23+0300,60324eM,2025-07-11 23:43:29,detected_vehicles/20250711_234329_frame30_60324eM.jpg
